"","Country.Region","Date","Confirmed","Deaths","Recovered","Active"
"1","Afghanistan","22/1/2020",0,0,0,0
"2","Albania","22/1/2020",0,0,0,0
"3","Algeria","22/1/2020",0,0,0,0
"4","Andorra","22/1/2020",0,0,0,0
"5","Angola","22/1/2020",0,0,0,0
"6","Antigua and Barbuda","22/1/2020",0,0,0,0
"7","Argentina","22/1/2020",0,0,0,0
"8","Armenia","22/1/2020",0,0,0,0
"9","Australia","22/1/2020",0,0,0,0
"14","Australia","22/1/2020",0,0,0,0
"15","Australia","22/1/2020",0,0,0,0
"16","Australia","22/1/2020",0,0,0,0
"17","Austria","22/1/2020",0,0,0,0
"18","Azerbaijan","22/1/2020",0,0,0,0
"19","Bahamas","22/1/2020",0,0,0,0
"20","Bahrain","22/1/2020",0,0,0,0
"21","Bangladesh","22/1/2020",0,0,0,0
"22","Barbados","22/1/2020",0,0,0,0
"23","Belarus","22/1/2020",0,0,0,0
"24","Belgium","22/1/2020",0,0,0,0
"25","Benin","22/1/2020",0,0,0,0
"26","Bhutan","22/1/2020",0,0,0,0
"27","Bolivia","22/1/2020",0,0,0,0
"28","Bosnia and Herzegovina","22/1/2020",0,0,0,0
"29","Brazil","22/1/2020",0,0,0,0
"30","Brunei","22/1/2020",0,0,0,0
"31","Bulgaria","22/1/2020",0,0,0,0
"32","Burkina Faso","22/1/2020",0,0,0,0
"33","Cabo Verde","22/1/2020",0,0,0,0
"34","Cambodia","22/1/2020",0,0,0,0
"35","Cameroon","22/1/2020",0,0,0,0
"36","Canada","22/1/2020",0,0,0,0
"37","Canada","22/1/2020",0,0,0,0
"38","Canada","22/1/2020",0,0,0,0
"39","Canada","22/1/2020",0,0,0,0
"40","Canada","22/1/2020",0,0,0,0
"41","Canada","22/1/2020",0,0,0,0
"42","Canada","22/1/2020",0,0,0,0
"43","Canada","22/1/2020",0,0,0,0
"44","Canada","22/1/2020",0,0,0,0
"45","Canada","22/1/2020",0,0,0,0
"46","Central African Republic","22/1/2020",0,0,0,0
"47","Chad","22/1/2020",0,0,0,0
"48","Chile","22/1/2020",0,0,0,0
"49","China","22/1/2020",1,0,0,1
"50","China","22/1/2020",14,0,0,14
"51","China","22/1/2020",6,0,0,6
"52","China","22/1/2020",1,0,0,1
"53","China","22/1/2020",0,0,0,0
"54","China","22/1/2020",26,0,0,26
"55","China","22/1/2020",2,0,0,2
"56","China","22/1/2020",1,0,0,1
"57","China","22/1/2020",4,0,0,4
"58","China","22/1/2020",1,0,0,1
"59","China","22/1/2020",0,0,0,0
"60","China","22/1/2020",5,0,0,5
"61","China","22/1/2020",0,0,0,0
"62","China","22/1/2020",444,17,28,399
"63","China","22/1/2020",4,0,0,4
"64","China","22/1/2020",0,0,0,0
"65","China","22/1/2020",1,0,0,1
"66","China","22/1/2020",2,0,0,2
"67","China","22/1/2020",0,0,0,0
"68","China","22/1/2020",2,0,0,2
"69","China","22/1/2020",1,0,0,1
"70","China","22/1/2020",1,0,0,1
"71","China","22/1/2020",0,0,0,0
"72","China","22/1/2020",0,0,0,0
"73","China","22/1/2020",2,0,0,2
"74","China","22/1/2020",9,0,0,9
"75","China","22/1/2020",1,0,0,1
"76","China","22/1/2020",5,0,0,5
"77","China","22/1/2020",4,0,0,4
"78","China","22/1/2020",0,0,0,0
"79","China","22/1/2020",0,0,0,0
"80","China","22/1/2020",1,0,0,1
"81","China","22/1/2020",10,0,0,10
"82","Colombia","22/1/2020",0,0,0,0
"83","Congo (Brazzaville)","22/1/2020",0,0,0,0
"84","Congo (Kinshasa)","22/1/2020",0,0,0,0
"85","Costa Rica","22/1/2020",0,0,0,0
"86","Cote d'Ivoire","22/1/2020",0,0,0,0
"87","Croatia","22/1/2020",0,0,0,0
"88","Cuba","22/1/2020",0,0,0,0
"89","Cyprus","22/1/2020",0,0,0,0
"90","Czechia","22/1/2020",0,0,0,0
"91","Denmark","22/1/2020",0,0,0,0
"92","Greenland","22/1/2020",0,0,0,0
"93","Denmark","22/1/2020",0,0,0,0
"94","Djibouti","22/1/2020",0,0,0,0
"95","Dominican Republic","22/1/2020",0,0,0,0
"96","Ecuador","22/1/2020",0,0,0,0
"97","Egypt","22/1/2020",0,0,0,0
"98","El Salvador","22/1/2020",0,0,0,0
"99","Equatorial Guinea","22/1/2020",0,0,0,0
"100","Eritrea","22/1/2020",0,0,0,0
"101","Estonia","22/1/2020",0,0,0,0
"102","Eswatini","22/1/2020",0,0,0,0
"103","Ethiopia","22/1/2020",0,0,0,0
"104","Fiji","22/1/2020",0,0,0,0
"105","Finland","22/1/2020",0,0,0,0
"106","France","22/1/2020",0,0,0,0
"107","France","22/1/2020",0,0,0,0
"108","France","22/1/2020",0,0,0,0
"109","France","22/1/2020",0,0,0,0
"110","France","22/1/2020",0,0,0,0
"111","France","22/1/2020",0,0,0,0
"112","France","22/1/2020",0,0,0,0
"113","France","22/1/2020",0,0,0,0
"114","France","22/1/2020",0,0,0,0
"115","France","22/1/2020",0,0,0,0
"116","Gabon","22/1/2020",0,0,0,0
"117","Gambia","22/1/2020",0,0,0,0
"118","Georgia","22/1/2020",0,0,0,0
"119","Germany","22/1/2020",0,0,0,0
"120","Ghana","22/1/2020",0,0,0,0
"121","Greece","22/1/2020",0,0,0,0
"122","Guatemala","22/1/2020",0,0,0,0
"123","Guinea","22/1/2020",0,0,0,0
"124","Guyana","22/1/2020",0,0,0,0
"125","Haiti","22/1/2020",0,0,0,0
"126","Holy See","22/1/2020",0,0,0,0
"127","Honduras","22/1/2020",0,0,0,0
"128","Hungary","22/1/2020",0,0,0,0
"129","Iceland","22/1/2020",0,0,0,0
"130","India","22/1/2020",0,0,0,0
"131","Indonesia","22/1/2020",0,0,0,0
"132","Iran","22/1/2020",0,0,0,0
"133","Iraq","22/1/2020",0,0,0,0
"134","Ireland","22/1/2020",0,0,0,0
"135","Israel","22/1/2020",0,0,0,0
"136","Italy","22/1/2020",0,0,0,0
"137","Jamaica","22/1/2020",0,0,0,0
"138","Japan","22/1/2020",2,0,0,2
"139","Jordan","22/1/2020",0,0,0,0
"140","Kazakhstan","22/1/2020",0,0,0,0
"141","Kenya","22/1/2020",0,0,0,0
"142","South Korea","22/1/2020",1,0,0,1
"143","Kuwait","22/1/2020",0,0,0,0
"144","Kyrgyzstan","22/1/2020",0,0,0,0
"145","Latvia","22/1/2020",0,0,0,0
"146","Lebanon","22/1/2020",0,0,0,0
"147","Liberia","22/1/2020",0,0,0,0
"148","Liechtenstein","22/1/2020",0,0,0,0
"149","Lithuania","22/1/2020",0,0,0,0
"150","Luxembourg","22/1/2020",0,0,0,0
"151","Madagascar","22/1/2020",0,0,0,0
"152","Malaysia","22/1/2020",0,0,0,0
"153","Maldives","22/1/2020",0,0,0,0
"154","Malta","22/1/2020",0,0,0,0
"155","Mauritania","22/1/2020",0,0,0,0
"156","Mauritius","22/1/2020",0,0,0,0
"157","Mexico","22/1/2020",0,0,0,0
"158","Moldova","22/1/2020",0,0,0,0
"159","Monaco","22/1/2020",0,0,0,0
"160","Mongolia","22/1/2020",0,0,0,0
"161","Montenegro","22/1/2020",0,0,0,0
"162","Morocco","22/1/2020",0,0,0,0
"163","Namibia","22/1/2020",0,0,0,0
"164","Nepal","22/1/2020",0,0,0,0
"165","Netherlands","22/1/2020",0,0,0,0
"166","Netherlands","22/1/2020",0,0,0,0
"167","Netherlands","22/1/2020",0,0,0,0
"168","Netherlands","22/1/2020",0,0,0,0
"169","New Zealand","22/1/2020",0,0,0,0
"170","Nicaragua","22/1/2020",0,0,0,0
"171","Niger","22/1/2020",0,0,0,0
"172","Nigeria","22/1/2020",0,0,0,0
"173","North Macedonia","22/1/2020",0,0,0,0
"174","Norway","22/1/2020",0,0,0,0
"175","Oman","22/1/2020",0,0,0,0
"176","Pakistan","22/1/2020",0,0,0,0
"177","Panama","22/1/2020",0,0,0,0
"178","Papua New Guinea","22/1/2020",0,0,0,0
"179","Paraguay","22/1/2020",0,0,0,0
"180","Peru","22/1/2020",0,0,0,0
"181","Philippines","22/1/2020",0,0,0,0
"182","Poland","22/1/2020",0,0,0,0
"183","Portugal","22/1/2020",0,0,0,0
"184","Qatar","22/1/2020",0,0,0,0
"185","Romania","22/1/2020",0,0,0,0
"186","Russia","22/1/2020",0,0,0,0
"187","Rwanda","22/1/2020",0,0,0,0
"188","Saint Lucia","22/1/2020",0,0,0,0
"189","Saint Vincent and the Grenadines","22/1/2020",0,0,0,0
"190","San Marino","22/1/2020",0,0,0,0
"191","Saudi Arabia","22/1/2020",0,0,0,0
"192","Senegal","22/1/2020",0,0,0,0
"193","Serbia","22/1/2020",0,0,0,0
"194","Seychelles","22/1/2020",0,0,0,0
"195","Singapore","22/1/2020",0,0,0,0
"196","Slovakia","22/1/2020",0,0,0,0
"197","Slovenia","22/1/2020",0,0,0,0
"198","Somalia","22/1/2020",0,0,0,0
"199","South Africa","22/1/2020",0,0,0,0
"200","Spain","22/1/2020",0,0,0,0
"201","Sri Lanka","22/1/2020",0,0,0,0
"202","Sudan","22/1/2020",0,0,0,0
"203","Suriname","22/1/2020",0,0,0,0
"204","Sweden","22/1/2020",0,0,0,0
"205","Switzerland","22/1/2020",0,0,0,0
"206","Taiwan*","22/1/2020",1,0,0,1
"207","Tanzania","22/1/2020",0,0,0,0
"208","Thailand","22/1/2020",2,0,0,2
"209","Togo","22/1/2020",0,0,0,0
"210","Trinidad and Tobago","22/1/2020",0,0,0,0
"211","Tunisia","22/1/2020",0,0,0,0
"212","Turkey","22/1/2020",0,0,0,0
"213","Uganda","22/1/2020",0,0,0,0
"214","Ukraine","22/1/2020",0,0,0,0
"215","United Arab Emirates","22/1/2020",0,0,0,0
"216","United Kingdom","22/1/2020",0,0,0,0
"217","United Kingdom","22/1/2020",0,0,0,0
"218","United Kingdom","22/1/2020",0,0,0,0
"219","United Kingdom","22/1/2020",0,0,0,0
"220","United Kingdom","22/1/2020",0,0,0,0
